Ritz wavelength (nm),Li I (6.5e-03),Li II (3.2e-01),Li III (5.5e-29),C I (1.2e-01),C II (5.2e-02),C III (1.4e-08),O I (4.8e-01),O II (1.6e-02),O III (1.1e-12)
280.8728,,,,,,,,4.301e-9,
280.9659,,,,,,,,,8.991e-24
283.6308,,,,,,,,,1.656e-23
283.6707,,,,,9.219e-2,,,,
283.7605,,,,,4.602e-2,,,,
284.575,,,,,,,,,5.923e-27
284.893,,,,,,,,,8.385e-27
285.375,,,,,,,,,4.071e-27
286.252,,,,,,,,,7.498e-28
286.26,,,,,,,,,7.312e-28
286.3712,,,,,,4.554e-19,,,
288.3856,,,,,,,6.343e-2,,
290.572,,,,,4.765e-7,,,,
290.6009,,,,,4.735e-7,,,,
290.8831,,,,,5.130e-7,,,,
290.899,,,,,5.122e-7,,,,
291.0723,,,,,1.192e-6,,,,
291.4987631,,,1.272e-72,,,,,,
291.5009894,,,7.886e-73,,,,,,
291.5271194,,,3.188e-72,,,,,,
291.5271663,,,2.288e-72,,,,,,
291.5360516,,,4.684e-72,,,,,,
291.5360676,,,4.554e-72,,,,,,
291.5403701,,,6.071e-72,,,,,,
295.2733,,2.421e-25,,,,,,,
295.9695,,,,,,,,,3.733e-22
296.6184,,,,,1.287e-6,,,,
296.6655,,,,,1.286e-6,,,,
296.687,,,,,3.232e-6,,,,
296.7623,,,,,1.642e-6,,,,
296.786,,,,,6.145e-6,,,,
296.8837,,,,,1.383e-6,,,,
298.3781,,,,,,,,,4.162e-21
299.2081,,,,,,,,,1.387e-23
299.648,,,,,,,,,4.169e-23
299.7689,,,,,,,,,1.421e-23
300.4344,,,,,,,,,6.355e-23
300.8779,,,,,,,,,1.375e-23
301.7615,,,,,,,,,1.111e-22
302.3425,,,,,,,,,1.986e-21
302.4359,,,,,,,,,1.398e-23
302.454,,,,,,,,,1.558e-21
302.9078,,8.438e-25,,,,,,,
302.9114,,2.813e-25,,,,,,,
302.9115,,1.575e-24,,,,,,,
302.9176,,2.813e-25,,,,,,,
302.9294,,3.751e-25,,,,,,,
