Wavelength (nm),Sum,Li I (6.5e-03),Li II (3.2e-01),Li III (5.5e-29),C I (1.2e-01),C II (5.2e-02),C III (1.4e-08),O I (4.8e-01),O II (1.6e-02),O III (1.1e-12)
408.82,6.141e-7,5.162e-13,,,,,3.428e-20,,6.141e-7,1.550e-25
408.9,5.696e-7,1.796e-12,,,,,1.981e-20,,5.696e-7,1.345e-25
408.99,5.363e-7,7.109e-12,,,,,1.040e-20,,5.363e-7,1.139e-25
409.07,5.187e-7,2.358e-11,,,,,5.725e-21,,5.186e-7,9.800e-26
409.15,5.099e-7,7.643e-11,,,,,3.080e-21,,5.099e-7,8.431e-26
409.23,5.083e-7,2.422e-10,,,,,1.620e-21,,5.081e-7,7.279e-26
409.31,5.126e-7,7.503e-10,,,,,8.327e-22,,5.119e-7,6.334e-26
409.4,5.238e-7,2.606e-9,,,,,3.839e-22,,5.212e-7,5.507e-26
409.48,5.409e-7,7.693e-9,,,,,1.896e-22,,5.332e-7,4.966e-26
409.56,5.703e-7,2.220e-8,,,,,9.425e-23,,5.481e-7,4.593e-26
409.64,6.282e-7,6.265e-8,,,,,5.149e-23,,5.656e-7,4.371e-26
409.72,7.581e-7,1.728e-7,,,,,3.866e-23,,5.853e-7,4.279e-26
409.81,1.136e-6,5.266e-7,,,,,5.003e-23,,6.099e-7,4.297e-26
409.89,2.018e-6,1.384e-6,,,,,8.554e-23,,6.334e-7,4.391e-26
409.97,4.214e-6,3.556e-6,,,,,1.574e-22,,6.581e-7,4.525e-26
410.05,9.616e-6,8.933e-6,,,,,2.901e-22,,6.829e-7,4.666e-26
410.13,2.264e-5,2.194e-5,,,,,5.253e-22,,7.069e-7,4.784e-26
410.21,5.339e-5,5.266e-5,,,,,9.310e-22,,7.291e-7,4.852e-26
410.3,1.380e-4,1.373e-4,,,,,1.725e-21,,7.504e-7,4.844e-26
410.38,3.148e-4,3.140e-4,,,,,2.914e-21,,7.653e-7,4.749e-26
410.46,7.031e-4,7.023e-4,,,,,4.811e-21,,7.759e-7,4.568e-26
410.54,1.536e-3,1.535e-3,,,,,7.764e-21,,7.824e-7,4.305e-26
410.62,3.282e-3,3.281e-3,,,,,1.225e-20,,7.856e-7,3.974e-26
410.71,7.506e-3,7.505e-3,,,,,1.990e-20,,7.870e-7,3.540e-26
410.79,1.529e-2,1.529e-2,,,,,2.991e-20,,7.886e-7,3.124e-26
410.87,3.044e-2,3.044e-2,,,,,4.394e-20,,7.929e-7,2.701e-26
410.95,5.924e-2,5.924e-2,,,,,6.309e-20,,8.025e-7,2.290e-26
411.03,1.127e-1,1.127e-1,,,,,8.856e-20,,8.195e-7,1.909e-26
411.11,2.097e-1,2.097e-1,2.542e-40,,,,1.215e-19,,8.459e-7,1.569e-26
411.2,4.102e-1,4.102e-1,1.045e-39,,,,1.687e-19,,8.876e-7,1.248e-26
411.28,7.272e-1,7.272e-1,3.584e-39,,,,2.206e-19,,9.353e-7,1.019e-26
411.36,1.260e+0,1.260e+0,1.202e-38,,,,2.818e-19,,9.914e-7,8.433e-27
411.44,2.135e+0,2.135e+0,3.944e-38,,,,3.519e-19,,1.053e-6,7.175e-27
411.52,3.535e+0,3.535e+0,1.265e-37,,,,4.296e-19,,1.117e-6,6.352e-27
411.61,6.069e+0,6.069e+0,4.569e-37,,,,5.231e-19,,1.185e-6,5.854e-27
411.69,9.578e+0,9.578e+0,1.397e-36,,,,6.084e-19,,1.237e-6,5.700e-27
411.77,1.478e+1,1.478e+1,4.179e-36,,,,6.916e-19,,1.276e-6,5.732e-27
411.85,2.229e+1,2.229e+1,1.222e-35,,,,7.685e-19,,1.299e-6,5.871e-27
411.93,3.286e+1,3.286e+1,3.494e-35,,,,8.347e-19,,1.301e-6,6.046e-27
412.02,4.950e+1,4.950e+1,1.109e-34,,,,8.914e-19,,1.279e-6,6.216e-27
412.1,6.955e+1,6.955e+1,3.024e-34,,,,9.224e-19,,1.238e-6,6.291e-27
