Ritz wavelength (nm),Cs I (2.2e-02),Cs III (2.3e-05)
404.34262,,6.414e-7
408.14907,,7.009e-7
411.929,,4.979e-9
415.19985,,1.239e-8
415.85961,,8.375e-8
416.32515,,4.358e-8
431.27908,,3.906e-9
432.6329,,2.686e-8
440.38608,,6.451e-7
441.02226,,1.756e-6
442.56759,,1.225e-6
455.528,3.841e+2,
459.3172,8.493e+1,
461.21786,,8.549e-9
462.0611,,4.649e-8
471.6116,,1.618e-9
485.15895,,5.340e-8
585.109,,8.734e-10
593.9493,,2.480e-10
594.0138,,9.382e-11
594.2978,,1.010e-9
594.6964,,5.171e-9
594.8254,,1.060e-9
595.0138,,7.003e-9
597.3731,,9.359e-10
600.3709,,6.284e-10
601.5074,,1.059e-9
607.9854,,2.389e-9
609.5756,,5.532e-10
612.207,,1.785e-9
614.8774,,1.812e-9
615.0637,,8.610e-9
615.8366,,2.514e-9
616.3063,,1.327e-9
620.1849,,1.653e-9
622.3189,,7.279e-10
624.1936,,3.916e-10
624.2959,,6.837e-9
625.6662,,2.291e-9
630.7272,,3.179e-10
633.588,,3.439e-9
637.2623,,4.441e-10
645.6318,,5.538e-9
647.3319,,7.714e-10
648.9056,,2.429e-10
651.6782,,4.345e-10
651.8986,,4.470e-10
654.397,,7.414e-10
659.5361,,1.451e-9
660.0749,,6.860e-10
660.0836,,1.253e-9
662.4435,,2.480e-9
666.575,,5.299e-10
668.825,,4.430e-10
670.823,,1.325e-9
800.7738,,1.717e-8
813.5879,,1.365e-8
852.113165,2.434e+4,
880.2639,,1.100e-8
894.347424,1.138e+4,
928.0209,,7.836e-9
959.9163,,5.948e-9
