Ritz wavelength (nm),Mo I (2.8e-02)
397.37559,3.361e+2
397.37911,3.366e+1
397.78987,7.745e+1
398.0198,7.149e+1
399.18475,6.934e+1
401.0126,8.340e+1
402.10116,1.812e+2
405.11804,7.761e+1
405.60111,9.875e+1
406.20764,5.709e+2
406.98808,1.164e+3
407.61911,1.379e+2
408.43707,4.489e+2
410.215,1.242e+2
410.74615,3.420e+2
412.0093,1.026e+3
413.19161,1.996e+2
414.89374,7.174e+1
414.89746,1.173e+2
415.5284,1.466e+2
415.73993,2.795e+2
415.79001,1.874e+2
417.82768,1.552e+2
418.58191,5.957e+2
418.83228,1.522e+3
419.4562,3.585e+2
423.259,1.282e+3
424.083,1.844e+2
424.6018,3.253e+2
425.1883,1.735e+2
425.4952,1.981e+2
426.928,3.190e+2
427.6906,9.787e+2
427.7239,9.715e+2
428.863,6.618e+2
429.2135,2.647e+2
429.3215,4.291e+2
429.3881,1.350e+2
431.7922,2.484e+2
432.5802,1.287e+2
432.6137,7.113e+2
434.0737,9.842e+1
438.163,1.540e+3
438.2408,2.392e+2
440.9945,1.415e+2
441.1565,1.310e+2
441.1695,1.192e+3
442.3609,1.615e+2
443.4949,9.493e+2
444.2202,1.846e+2
444.6424,1.715e+2
444.9739,2.511e+2
445.7355,3.844e+2
447.4569,4.583e+2
449.128,1.927e+2
449.1647,1.193e+2
451.7121,1.927e+2
452.9395,9.774e+1
453.6796,8.071e+2
459.8226,5.156e+1
460.9874,2.877e+2
462.1365,7.321e+1
462.4233,1.200e+2
462.6464,2.080e+2
463.3075,1.333e+2
465.2245,1.185e+2
467.1895,1.504e+2
468.6081,6.033e+1
468.8213,2.715e+2
470.7247,9.587e+2
470.8223,1.563e+2
471.7918,1.862e+2
471.8858,1.231e+2
472.3052,7.644e+1
472.9137,1.444e+2
473.1442,1.432e+3
475.039,1.139e+2
475.8502,2.735e+2
476.0183,1.747e+3
476.4108,1.652e+2
477.6341,1.868e+2
479.6517,1.717e+2
481.105,4.602e+2
481.9248,7.245e+2
483.0513,8.716e+2
485.8389,7.789e+1
486.8017,4.978e+2
495.0614,1.234e+2
495.7532,1.479e+2
