Ritz wavelength (nm),Si I (1.1e-01),Si II (8.9e-01),Si III (7.3e-04)
647.39,,,9.173e-10
647.41,,,1.194e-9
652.149,,,1.031e-8
652.261,,,1.524e-8
652.434,,,2.201e-8
666.053,,2.565e+0,
666.503,,1.031e+0,
667.184,,4.413e+0,
669.94,,1.012e+0,
671.697,,1.288e+0,
675.034,,1.050e+0,
675.19,,2.002e-1,
680.528,,,6.417e-8
681.059,,,1.732e-9
681.841,,2.694e+0,
682.98,,4.863e+0,
683.155,,,5.467e-8
683.407,,,3.282e-8
685.176,,,1.190e-7
698.832,,,5.978e-10
700.3569,9.040e+1,,
700.431,,,7.565e-10
700.588,1.277e+2,,
701.905,,,1.088e-9
704.748,,,4.763e-9
712.585,,1.439e+0,
740.847,,,4.510e-9
744.233,,,1.500e-8
746.19,,,9.565e-8
746.235,,,7.189e-8
746.265,,,2.157e-7
746.565,,,7.184e-8
746.632,,,4.019e-7
761.236,,,1.980e-7
768.0266,1.128e+2,,
774.272,2.062e+2,,
784.882,,2.519e+1,
784.962,,1.796e+0,
784.972,,3.592e+1,
791.152,,9.044e-1,
791.163,,6.333e-1,
791.8384,1.222e+2,,
793.2348,1.668e+2,,
794.4001,2.362e+2,,
804.441,,7.555e-1,
804.455,,1.080e+0,
819.05,,,3.598e-8
819.095,,,4.683e-8
819.108,,,3.135e-9
819.168,,,6.135e-8
819.232,,,3.133e-9
821.194,,,2.849e-9
821.2,,,1.664e-9
821.23,,,2.178e-9
826.257,,,2.151e-7
826.565,,,3.854e-8
826.933,,,1.148e-7
827.139,,,3.829e-8
827.195,,,5.089e-8
834.196,,,1.646e-9
843.649,,,1.181e-8
864.847,4.164e+2,,
889.923,1.017e+2,,
893.55,,1.678e+0,
893.563,,1.174e+0,
917.307,,,4.583e-8
926.056,,,2.376e-8
932.389,,,5.680e-6
932.92,,,1.287e-9
939.203,,,2.901e-9
941.27,,3.976e+0,
941.35,3.242e+2,,
950.4,,5.031e-1,
