Ritz wavelength (nm),O I (9.7e-01),O II (3.3e-02),O III (2.3e-12)
469.9011,,1.736e-7,
469.9218,,1.211e-6,
470.1179,,5.896e-8,
470.1712,,1.179e-8,
470.3161,,1.212e-7,
470.5346,,1.911e-6,
471.0009,,3.880e-7,
474.1704,,6.562e-8,
475.1278,,1.109e-7,
476.463,,,2.458e-28
477.3753,1.021e+0,,
485.6389,,7.266e-8,
485.6762,,8.682e-8,
486.0965,,3.293e-8,
487.1523,,5.884e-8,
487.2017,,6.544e-9,
489.0856,,2.254e-7,
490.683,,4.260e-7,
492.4529,,7.324e-7,
494.1072,,4.270e-7,
494.3005,,8.303e-7,
495.5707,,1.280e-7,
496.7884,1.060e+0,,
496.8794,2.051e+0,,
502.0218,9.184e-1,,
508.8922,,,2.128e-27
515.9941,,1.227e-7,
517.5903,,5.741e-8,
519.0498,,9.411e-8,
520.6651,,2.656e-7,
526.8301,,,3.161e-23
532.9099,1.294e+0,,
532.9681,1.679e+0,,
532.969,2.693e+0,,
533.0735,1.342e+0,,
533.0741,5.183e+0,,
543.5775,1.434e+0,,
543.6862,2.001e+0,,
550.8242,,,4.325e-23
559.2252,,,5.274e-21
595.8584,1.344e+0,,
598.858,,,3.547e-27
603.516,,,5.105e-27
604.6438,1.147e+0,,
607.759,,,7.168e-27
615.256,,3.936e-9,
615.5961,2.213e+0,,
615.5971,4.984e+0,,
615.5989,3.877e+0,,
615.6737,1.664e+0,,
615.6755,6.462e+0,,
615.6778,1.033e+1,,
615.8172,5.164e+0,,
615.8187,1.992e+1,,
621.4252,,5.733e-9,
645.3602,2.629e+0,,
645.4444,4.382e+0,,
645.5977,6.135e+0,,
650.755,,,9.001e-26
656.5283,,5.491e-8,
657.1108,,3.912e-8,
662.7373,,2.126e-8,
664.1031,,1.525e-6,
671.7754,,8.263e-9,
672.1388,,2.794e-6,
684.6804,,1.060e-8,
686.9475,,1.363e-8,
688.4881,,1.051e-8,
689.5102,,9.099e-8,
690.6436,,6.320e-8,
690.7873,,2.617e-8,
691.0562,,4.173e-8,
700.1922,3.828e+0,,
700.223,7.139e+0,,
