Ritz wavelength (nm),Ne I (1.0e+00),Ne II (1.5e-04),Ne III (2.3e-17)
826.60772,4.192e-2,,
830.03258,1.924e-1,,
830.15577,9.917e-3,,
836.57465,2.235e-2,,
837.63594,3.427e-2,,
837.7608,8.940e-1,,
841.71606,1.471e-2,,
841.84274,1.532e-1,,
846.33575,1.900e-2,,
849.53598,5.475e-1,,
857.13524,1.694e-2,,
858.29028,9.340e-3,,
859.12584,2.797e-1,,
863.4647,2.229e-1,,
864.70411,3.583e-2,,
865.43831,5.111e-1,,
865.55221,4.326e-2,,
867.94925,7.798e-2,,
868.19211,7.957e-2,,
870.41116,1.559e-2,,
877.16563,5.916e-2,,
877.87328,1.082e-2,,
878.06226,4.027e-1,,
878.37533,2.901e-1,,
885.38668,1.629e-1,,
886.57552,8.038e-2,,
891.95006,3.396e-2,,
914.86716,5.911e-2,,
920.17591,4.614e-2,,
922.00601,2.996e-2,,
922.15801,1.090e-2,,
922.66903,9.625e-3,,
930.08527,4.191e-2,,
931.39726,1.317e-2,,
932.65068,3.444e-2,,
942.53788,2.577e-2,,
945.92095,1.301e-2,,
948.66818,1.537e-2,,
953.41629,3.119e-2,,
954.74049,1.470e-2,,
