Ritz wavelength (nm),Cr I (2.7e-02),Cr II (9.7e-01)
520.842555,7.022e+3,
521.413165,7.803e+1,
524.33539,1.138e+2,
526.17509,1.509e+2,
526.415341,2.434e+2,
527.20003,1.510e+2,
529.737623,1.017e+3,
529.80146,6.117e+2,
529.827202,3.268e+2,
530.418,8.001e+1,
531.2856,1.097e+2,
531.87708,8.295e+1,
532.832346,1.985e+3,
532.913725,5.897e+2,
532.97833,1.097e+2,
534.04469,7.534e+1,
534.57965,4.852e+2,
534.83147,2.359e+2,
540.059689,1.514e+2,
540.978408,8.604e+2,
562.86426,7.048e+1,
564.93856,4.700e+1,
569.47407,1.290e+2,
570.2306,8.774e+1,
578.30643,1.462e+2,
578.38501,2.346e+2,
578.496971,1.938e+2,
578.791876,3.827e+2,
666.10739,1.277e+2,
666.9281,5.437e+1,
688.25069,1.733e+2,
688.30525,1.556e+2,
692.52694,1.896e+2,
697.83983,5.539e+2,
697.97942,1.546e+2,
735.58903,3.622e+2,
740.01798,5.350e+2,
