Ritz wavelength (nm),W I (4.7e-02),W II (9.5e-01),W III (2.7e-03)
413.2207,1.272e+2,,
413.7464,1.407e+2,,
413.9318,1.401e+2,,
414.2249,1.342e+2,,
416.0346,1.494e+2,,
417.0527,2.175e+2,,
417.1186,1.574e+2,,
417.55876,,7.868e+2,
418.3659,5.951e+1,,
420.0028,1.383e+2,,
420.4408,1.991e+2,,
421.5377,1.128e+2,,
421.9375,7.562e+1,,
422.6907,7.566e+1,,
423.2994,7.157e+1,,
424.1444,3.059e+2,,
424.4367,2.735e+2,,
424.9456,9.832e+1,,
425.846,5.774e+1,,
426.022,3.625e+2,,
426.9384,4.178e+2,,
426.9773,1.467e+2,,
427.5483,2.741e+2,,
429.4605,1.734e+3,,
430.2103,7.082e+2,,
430.7636,2.068e+2,,
434.5828,8.530e+1,,
434.6992,1.101e+2,,
434.7498,7.035e+1,,
434.8079,2.246e+2,,
434.811303,,1.917e+3,
435.5159,4.264e+1,,
436.4777,2.516e+1,,
437.8488,4.073e+1,,
438.485,1.756e+2,,
438.6755,8.575e+1,,
439.4069,7.285e+1,,
442.5902,6.397e+1,,
443.8281,5.394e+1,,
446.0488,7.148e+1,,
446.6343,6.456e+1,,
449.3956,8.253e+1,,
449.4497,8.842e+1,,
450.484,5.004e+1,,
451.5866,1.522e+2,,
455.9106,6.401e+1,,
456.3586,8.384e+1,,
456.531,6.014e+1,,
460.9904,9.231e+1,,
461.3308,3.482e+1,,
463.4812,5.146e+1,,
465.9853,1.516e+2,,
466.1971,6.439e+1,,
466.8459,6.171e+1,,
467.9039,5.637e+1,,
468.0513,2.754e+2,,
468.7617,6.283e+1,,
470.2472,5.453e+1,,
472.5121,5.493e+1,,
475.7542,5.036e+1,,
484.381,3.517e+2,,
488.6902,2.357e+2,,
489.0272,5.282e+1,,
490.2311,1.024e+2,,
490.2955,7.640e+1,,
498.2586,7.512e+1,,
498.6924,5.267e+1,,
500.6147,2.361e+2,,
501.5309,1.630e+2,,
505.328,2.881e+2,,
505.4594,8.346e+1,,
505.5524,1.074e+2,,
518.3963,5.436e+1,,
520.4504,1.082e+2,,
520.6187,7.120e+1,,
522.4661,2.222e+2,,
524.2973,6.822e+1,,
525.5401,7.693e+1,,
543.5042,1.621e+1,,
551.4684,1.107e+2,,
566.0744,5.295e+1,,
567.44,9.257e+1,,
586.4619,8.367e+1,,
