Ritz wavelength (nm),Mn I (3.3e-02),Mn II (9.6e-01)
288.9599,,2.226e+4
289.13379,,4.993e+3
289.23837,,1.110e+4
289.3844,,1.111e+3
289.70678,,2.890e+3
289.87024,,9.109e+3
289.8958,,8.967e+2
290.0159,,9.366e+3
290.29037,,8.800e+2
290.4513,,7.511e+1
290.4667,,1.252e+3
290.5254,,8.344e+2
290.6996,,5.700e+1
290.7204,,3.647e+1
291.3128,,1.052e+3
291.3722,,6.150e+1
292.2597,,1.880e+3
292.73953,,1.094e+3
293.0523,,1.503e+3
293.30543,,1.402e+5
293.338,,3.706e+1
293.7706,,1.184e+3
293.93077,,2.288e+5
294.1567,,5.980e+2
294.31425,,5.672e+3
294.38954,,3.779e+3
294.92042,,3.216e+5
295.1172,,7.873e+3
295.2876,,1.084e+3
295.51392,,1.021e+3
295.8068,,4.043e+2
295.89444,,9.421e+2
296.16907,,8.163e+2
296.596,,4.868e+2
297.64779,,2.380e+3
297.68659,,1.331e+3
298.45972,,9.305e+2
299.36025,,8.601e+2
300.765,1.445e+2,
301.1163,1.109e+2,
301.1372,3.125e+2,
301.6453,3.533e+2,
301.9713,,2.973e+2
301.99174,,3.644e+3
302.90306,,1.214e+3
303.1043,,1.039e+4
303.1329,,1.381e+2
303.5357,,6.697e+3
303.8097,,4.631e+3
303.85078,,3.012e+3
303.95416,,1.077e+3
304.1219,6.927e+1,
304.3138,1.179e+2,
304.3352,4.968e+2,
304.4578,1.335e+3,
304.559,7.075e+2,
304.5804,1.795e+2,
304.62578,,4.895e+2
304.658,4.984e+1,
304.7028,7.763e+2,
304.8858,1.158e+2,
305.06573,,4.324e+3
305.14267,,1.936e+3
305.4366,7.954e+2,
305.90609,,2.478e+3
306.2131,1.483e+2,
306.6028,3.746e+2,
307.0268,3.285e+2,
307.082,,8.016e+2
307.3141,4.220e+2,
307.9642,1.825e+2,
308.0687,,1.482e+1
308.2698,1.502e+2,
309.3347,1.450e+1,
309.7753,2.084e+1,
310.5884,,1.142e+2
310.6287,,2.897e+1
310.6742,3.461e+1,
