Ritz wavelength (nm),V I (2.1e-02),V II (9.7e-01),V III (1.1e-02)
293.16206,,4.727e+3,
293.23213,,8.916e+3,
293.383263,,1.544e+3,
293.440067,,9.265e+3,
293.58747,1.339e+2,,
293.63526,,3.432e+2,
293.824895,,1.585e+3,
294.138539,,3.857e+4,
294.14955,,1.578e+4,
294.23749,,1.563e+3,
294.238777,1.195e+2,,
294.318779,2.970e+2,,
294.44858,,1.172e+3,
294.457121,,5.998e+4,
294.50623,,1.920e+2,
294.55928,,2.718e+2,
294.56692,,2.070e+2,
294.652649,1.107e+2,,
294.80647,,5.680e+3,
294.877164,,1.081e+2,
294.917566,,4.178e+3,
294.96275,3.116e+2,,
295.034846,,1.223e+4,
295.04497,,7.876e+1,
295.11272,,4.581e+2,
295.15633,,9.793e+2,
295.17149,,1.112e+2,
295.207123,,3.825e+4,
295.36536,,8.960e+1,
295.433422,1.390e+2,,
295.5579,,5.961e+3,
295.5799,8.875e+1,,
295.66405,,2.223e+2,
295.75207,,1.521e+4,
295.85953,,4.476e+3,
296.20035,,2.807e+2,
296.277383,4.716e+2,,
296.380679,,2.544e+2,
296.67041,,8.487e+1,
296.706105,,3.759e+2,
296.837846,,5.449e+4,
296.98042,,9.827e+1,
297.04257,,3.199e+2,
297.09073,,8.960e+1,
297.39705,,3.462e+2,
297.52164,,6.995e+1,
297.565144,,8.155e+3,
297.619604,,1.434e+4,
297.632721,,2.799e+2,
297.65171,,3.136e+4,
297.75396,4.126e+2,,
297.78607,,8.339e+1,
297.94032,,2.509e+2,
298.12002,,5.613e+3,
298.27584,,2.984e+3,
298.35621,,7.984e+3,
298.51791,,5.155e+2,
298.8025,,8.331e+3,
298.93083,,1.749e+3,
298.9379,,2.316e+2,
298.95946,,9.633e+3,
299.29849,,5.390e+1,
299.40581,,6.444e+2,
299.45401,,5.311e+2,
299.512067,,3.620e+2,
299.599954,,7.295e+3,
300.120409,,4.644e+4,
300.17478,,4.706e+3,
300.2654,1.127e+2,,
300.34641,,1.033e+4,
300.58134,,3.330e+3,
300.64981,,1.917e+3,
300.72998,,1.463e+3,
300.85028,,1.517e+3,
300.861419,,4.283e+3,
301.201522,,2.499e+3,
301.29964,,3.847e+2,
301.310428,,8.308e+3,
301.48208,,2.195e+4,
301.57062,,2.560e+2,
301.599129,,3.049e+3,
301.61418,,3.108e+3,
301.678,,1.960e+4,
301.894562,,5.736e+2,
302.021145,,7.814e+2,
302.06544,,3.081e+3,
302.25804,,3.215e+3,
302.388387,,1.624e+3,
302.49831,,3.733e+3,
302.76061,,1.465e+3,
302.80538,,2.846e+2,
302.80548,,3.686e+3,
303.34473,,4.370e+4,
303.381445,,3.863e+4,
303.44421,,2.156e+2,
303.79637,,5.051e+1,
303.85198,,1.137e+3,
303.97617,,6.836e+2,
304.11983,,3.322e+2,
304.141572,,5.259e+3,
304.226054,,9.003e+3,
304.311916,3.851e+2,,
304.352439,,3.255e+3,
304.354906,3.232e+2,,
304.493249,3.003e+2,,
304.821163,,3.793e+4,
304.864665,,2.779e+3,
304.888713,,7.490e+3,
305.03912,2.137e+2,,
305.07337,,2.694e+3,
305.087877,2.186e+2,,
305.2326,,1.292e+2,
305.33822,,3.143e+4,
305.36542,1.354e+3,,
305.388709,,1.221e+4,
305.42313,,7.452e+2,
305.63328,1.945e+3,,
305.6629,,9.973e+1,
