Ritz wavelength (nm),Co I (5.3e-02),Co II (9.5e-01),Co III (1.2e-03)
213.452367,,2.331e+2,
213.72819,,,5.840e-4
214.618611,,3.355e+1,
215.147486,,2.535e+0,
215.20559,,1.701e+0,
215.703663,,5.289e+1,
215.896408,,4.172e+0,
216.13006,,5.309e+0,
216.40476,,2.867e+0,
216.592477,,3.934e+1,
217.22436,,,1.065e-3
217.330106,,6.514e+2,
217.336774,,2.329e+0,
217.399958,,9.802e+2,
217.55731,,2.250e+1,
217.568306,,7.455e+1,
217.577844,,6.669e+1,
217.682351,,3.671e+0,
217.85654,,2.918e+2,
218.013136,,3.664e+2,
218.026052,,9.284e+1,
218.060473,,5.881e+2,
218.092702,,1.062e+1,
218.10551,,6.898e+0,
218.124993,,4.247e+0,
218.198528,,8.698e+2,
218.263216,,6.753e+0,
218.547775,,1.083e+1,
218.606794,,2.130e+0,
218.674919,,1.280e+1,
218.752349,,8.084e+0,
218.93274,,2.309e+1,
219.049385,,2.710e+1,
219.065539,,1.914e+1,
219.067493,,3.692e+3,
219.09493,,4.218e+2,
219.14902,,3.140e+1,
219.187681,,1.015e+1,
219.227143,,1.565e+1,
219.249792,,3.830e+3,
219.30741,,1.424e+0,
219.32551,,,1.158e-3
219.360456,,8.963e+3,
219.45363,,1.167e+1,
219.483544,,3.650e+1,
219.509234,,4.000e+0,
219.53181,,3.235e+0,
219.618109,,6.560e+0,
219.68422,,2.839e+1,
219.715936,,6.903e+1,
219.736405,,2.398e+1,
219.748134,,2.395e+1,
219.811201,,5.548e+1,
219.826162,,6.475e+1,
219.94008,,3.446e+1,
219.94814,,3.716e+0,
220.018888,,1.243e+2,
220.042117,,1.565e+3,
220.11673,,2.272e+0,
220.12419,,1.397e+1,
220.164357,,4.027e+0,
220.288548,,1.431e+2,
220.295,,1.466e+3,
220.46033,,1.262e+1,
220.506925,,7.980e+2,
220.530486,,3.923e+0,
220.552436,,1.661e+3,
220.58488,,4.461e+0,
220.590604,,3.319e+2,
220.618862,,8.067e+3,
220.631528,,2.412e+2,
220.69674,,7.010e+0,
220.713459,,3.091e+0,
220.79213,,2.167e+3,
220.884079,,1.003e+2,
220.89473,,8.186e+0,
220.950598,,3.760e+2,
221.088807,,2.404e+0,
221.098397,,3.077e+2,
221.101145,,2.708e+0,
221.14281,,3.348e+3,
221.165788,,4.062e+0,
221.17988,,3.998e+0,
221.222253,,9.581e+0,
221.228168,,3.310e+0,
221.254522,,5.454e+1,
221.30363,,1.718e+1,
221.31812,,6.056e+2,
221.32615,,2.694e+1,
221.40588,,5.923e+0,
221.433598,,4.111e+1,
221.43617,,8.877e+1,
221.451356,,2.498e+2,
221.458073,,2.059e+0,
221.479256,,4.506e+3,
221.543728,,6.519e+0,
221.582652,,2.040e+0,
221.5867,,1.107e+1,
221.635561,,1.265e+3,
221.64115,,8.249e+0,
221.692832,,3.729e+1,
221.727885,,2.334e+3,
221.730103,,8.541e+2,
221.771622,,2.785e+2,
221.798225,,2.125e+0,
221.81299,,1.817e+2,
221.86455,,1.000e+1,
221.901895,,1.586e+1,
221.907998,,2.107e+2,
221.9518,,3.141e+0,
221.952743,,2.207e+1,
221.979719,,2.548e+0,
221.992907,,1.197e+3,
221.994967,,1.073e+2,
222.01151,,5.107e+3,
222.048641,,8.046e+0,
222.053,,5.742e+1,
222.12297,,2.149e+2,
222.145914,,4.333e+2,
222.175036,,4.898e+2,
222.246278,,4.811e+0,
222.281046,,3.513e+0,
222.29105,,2.462e+2,
222.304275,,9.499e+0,
222.326317,,2.740e+1,
222.371553,,6.907e+1,
222.408146,,6.514e+2,
222.441727,,8.613e+0,
222.493061,,3.354e+0,
222.552411,,2.323e+2,
222.594735,,3.666e+1,
222.596143,,5.132e+0,
222.616706,,2.085e+2,
222.625318,,2.379e+0,
222.706772,,5.137e+0,
222.735222,,7.568e+0,
222.751626,,6.336e+1,
222.753875,,3.461e+0,
222.816021,,2.122e+0,
222.97755,,1.104e+1,
223.043317,,8.872e+2,
223.107801,,4.121e+0,
223.135795,,3.678e+0,
223.19043,,5.826e+1,
223.207146,,4.052e+3,
223.238476,,4.645e+2,
223.244593,,1.587e+2,
223.2991,,1.763e+0,
223.336496,,2.819e+0,
223.402542,,2.320e+0,
223.475417,,1.173e+3,
223.501181,,6.870e+2,
223.51828,,,7.100e-4
223.57159,,3.044e+0,
223.60742,,5.220e+1,
223.70589,,,2.951e-3
223.732275,,4.709e+0,
223.745361,,2.671e+0,
224.003869,,1.204e+2,
224.026265,,2.786e+0,
224.118435,,1.120e+2,
224.165262,,5.192e+1,
224.28357,,1.251e+2,
224.37502,,1.151e+2,
224.383613,,2.059e+2,
224.388776,,2.894e+1,
224.448043,,1.574e+2,
224.512873,,2.379e+4,
